অ	ꯑ
অগরটলাগী	ꯑꯒꯔꯇꯂꯥꯒꯤ
অগরটলাগীদমক	ꯑꯒꯔꯇꯂꯥꯒꯤꯗꯃꯛ
অগরটলাদা	ꯑꯒꯔꯇꯂꯥꯗꯥ
অগরতালা	ꯑꯒꯔꯇꯥꯂꯥ
অগরতালাগা	ꯑꯒꯔꯇꯥꯂꯥꯒꯥ
অগরতালাগী	ꯑꯒꯔꯇꯥꯂꯥꯒꯤ
অগরতালাদগী	ꯑꯒꯔꯇꯥꯂꯥꯗꯒꯤ
অগরৱাননা	ꯑꯒꯔꯋꯥꯟꯅꯥ
অগরৱাল	ꯑꯒꯔꯋꯥꯜ
অগরৱালনা	ꯑꯒꯔꯋꯥꯜꯅꯥ
অগরৱালসু	ꯑꯒꯔꯋꯥꯜꯁꯨ
অগষ্ট	ꯑꯒꯁ꯭ꯇ
অগষ্টিন	ꯑꯒꯁ꯭ꯇꯤꯟ
অগস্ত	ꯑꯒꯁ꯭ꯇ
অগাথা	ꯑꯒꯥꯊꯥ
অগানানিনা	ꯑꯒꯥꯅꯥꯅꯤꯅꯥ
অগারৱালনা	ꯑꯒꯥꯔꯋꯥꯜꯅꯥ
অগিী	ꯑꯒꯤ
অগুই	ꯑꯒꯨꯢ
অগুৱাদা	ꯑꯒꯨꯋꯥꯗꯥ
অগে	ꯑꯒꯦ
অগেন্টস	ꯑꯒꯦꯟ꯭ꯇꯁ
অগ্ননি	ꯑꯒꯅꯅꯤ
অগ্নানিনা	ꯑꯒꯅꯥꯅꯤꯅꯥ
অগ্নিহোত্রিনা	ꯑꯒꯅꯤꯍꯣꯇ꯭ꯔꯤꯅꯥ
অগ্নী	ꯑꯒꯅꯤ
অগ্রাদা	ꯑꯒ꯭ꯔꯥꯗꯥ
অগ্রানা	ꯑꯒ꯭ꯔꯥꯅꯥ
অগ্রৱালনা	ꯑꯒ꯭ꯔꯋꯥꯜꯅꯥ
অঙংদুনা	ꯑꯉꯪꯗꯨꯅꯥ
অঙংশিংনা	ꯑꯉꯪꯁꯤꯡꯅꯥ
অঙকপনা	ꯑꯉꯛꯄꯅꯥ
অঙকপা	ꯑꯉꯛꯄꯥ
অঙক্পগী	ꯑꯉꯛꯄꯒꯤ
অঙক্পনা	ꯑꯉꯛꯄꯅꯥ
অঙক্পনি	ꯑꯉꯛꯄꯅꯤ
অঙক্পা	ꯑꯉꯛꯄꯥ
অঙখুই	ꯑꯉꯈꯨꯢ
অঙন	ꯑꯉꯟ
অঙনফৌ	ꯑꯉꯟꯐꯧ
অঙনবদগী	ꯑꯉꯟꯕꯗꯒꯤ
অঙনবদা	ꯑꯉꯟꯕꯗ ꯥ
অঙনবা	ꯑꯉꯟꯕ ꯥ
অঙন্বদা	ꯑꯉꯟꯕꯗꯥ
অঙম	ꯑꯉꯝ
অঙম্	ꯑꯉꯝ
অঙম্বশিংগী	ꯑꯉꯝꯕꯁꯤꯡꯒꯤ
অঙম্বা	ꯑꯉꯝꯕꯥ
অঙম্বী	ꯑꯉꯝꯕꯤ
অঙাং	ꯑꯉꯥꯡ
অঙাংগা	ꯑꯉꯥꯡꯒꯥ
অঙাংগী	ꯑꯉꯥꯡꯒꯤ
অঙাংদা	ꯑꯉꯥꯡꯗꯥ
অঙাংদু	ꯑꯉꯥꯡꯗꯨ
অঙাংদুগী	ꯑꯉꯥꯡꯗꯨꯒꯤ
অঙাংদুনা	ꯑꯉꯥꯡꯗꯨꯅꯥ
অঙাংদো	ꯑꯉꯥꯡꯗꯣ
অঙাংনা	ꯑꯉꯥꯡꯅꯥ
অঙাংনি	ꯑꯉꯥꯡꯅꯤ
অঙাংনিনা	ꯑꯉꯥꯡꯅꯤꯅꯥ
অঙাংনোনে	ꯑꯉꯥꯡꯅꯣꯅꯦ
অঙাংবা	ꯑꯉꯥꯡꯕꯥ
অঙাংবু	ꯑꯉꯥꯡꯕꯨ
অঙাংমচাশিংগী	ꯑꯉꯥꯡꯃꯆꯥꯁꯤꯡꯒꯤ
অঙাংশা	ꯑꯉꯥꯡꯁꯥ
অঙাংশিং	ꯑꯉꯥꯡꯁꯤꯡ
অঙাংশিংগা	ꯑꯉꯥꯡꯁꯤꯡꯒꯥ
অঙাংশিংগী	ꯑꯉꯥꯡꯁꯤꯡꯒꯤ
অঙাংশিংগীদমক	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛ
অঙাংশিংগীদমকসু	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯃꯛꯁꯨ
অঙাংশিংগীনা	ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯅꯥ
অঙাংশিংদগী	ꯑꯉꯥꯡꯁꯤꯡꯗꯒꯤ
অঙাংশিংদা	ꯑꯉꯥꯡꯁꯤꯡꯗꯥ
অঙাংশিংদি	ꯑꯉꯥꯡꯁꯤꯡꯗꯤ
অঙাংশিংদুনা	ꯑꯉꯥꯡꯁꯤꯡꯗꯨꯅꯥ
অঙাংশিংনদি	ꯑꯉꯥꯡꯁꯤꯡꯅꯗꯤ
অঙাংশিংনা	ꯑꯉꯥꯡꯁꯤꯡꯅꯥ
অঙাংশিংবু	ꯑꯉꯥꯡꯁꯤꯡꯕꯨ
অঙাংশিংসু	ꯑꯉꯥꯡꯁꯤꯡꯁꯨ
অঙাংসি	ꯑꯉꯥꯡꯁꯤ
অঙাংহল	ꯑꯉꯥꯡꯍꯜ
অঙাওবগী	ꯑꯉꯥꯨꯎꯕꯒꯤ
অঙাওবা	ꯑꯉꯥꯎꯕ ꯥ
অঙাওবীনি	ꯑꯉꯥꯨꯎꯕꯤꯅꯤ
অঙাওবীরা	ꯑꯉꯥꯎꯕꯤꯔꯥ
অঙাঙ্বমুক	ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙাঙ্বমুক্	ꯑꯉꯥꯡꯕꯃꯨꯛ
অঙানবনা	ꯑꯉꯥꯟꯕꯅꯥ
অঙানবনি	ꯑꯉꯥꯟꯕꯅꯤ
অঙান্বা	ꯑꯉꯥꯟꯕꯥ
অঙাম	ꯑꯉꯥꯝ
অঙাম্বা	ꯑꯉꯥꯝꯕꯥ
অঙোম	ꯑꯉꯣꯝ
অঙোমনা	ꯑꯉꯣꯝꯅꯥ
অঙৌবা	ꯑꯉꯧꯕꯥ
অঙৌবাদু	ꯑꯉꯧꯕꯥꯗꯨ
অঙৌবী	ꯑꯉꯧꯕꯤ
অঙ্ক	ꯑꯪꯀ
অঙ্কগী	ꯑꯪꯀꯒꯤ
অঙ্গত	ꯑꯪꯒꯠ
অঙ্গনৱাদি	ꯑꯪꯒꯟꯋꯥꯗꯤ
অঙ্গনৱাদিশিং	ꯑꯪꯒꯟꯋꯥꯗꯤꯁꯤꯡ
অঙ্গনৱাদিশিংগী	ꯑꯪꯒꯟꯋꯥꯗꯤꯁꯤꯡꯒꯤ
অঙ্গনৱারি	ꯑꯪꯒꯟꯋꯥꯔꯤ
অঙ্গামিগী	ꯑꯪꯒꯥꯃꯤꯒꯤ
অঙ্গামীনা	ꯑꯪꯒꯥꯃꯤꯅꯥ
অঙ্গুর	ꯑꯪꯒꯨꯔ
অচ	ꯑꯆ
অচংবা	ꯑꯆꯪꯕꯥ
অচনবা	ꯑꯆꯟꯕꯥ
অচম্বা	ꯑꯆꯝꯕꯥ
অচা	ꯑꯆꯥ
অচাক্পা	ꯑꯆꯥꯛꯄꯥ
অচাগােৎ	ꯑꯆꯥꯒꯣꯠ
অচাথাউ	ꯑꯆꯥꯊꯥꯎ
অচাথাউগী	ꯑꯆꯥꯊꯥꯎꯒꯤ
অচাথাওনচিংবা	ꯑꯆꯥꯊꯥꯎꯅꯆꯤꯡꯕꯥ
অচান্বগা	ꯑꯆꯥꯟꯕꯒꯥ
অচাপোত	ꯑꯆꯥꯄꯣꯇ
অচাবা	ꯑꯆꯥꯕꯥ
অচার	ꯑꯆꯥꯔ
অচারিয়া	ꯑꯆꯥꯔꯤꯌꯥ
অচারিয়ানচিংবা	ꯑꯆꯥꯔꯤꯌꯥꯅꯆꯤꯡꯕꯥ
অচারয়া	ꯑꯆꯥꯔꯌꯥ
অচিনবা	ꯑꯆꯤꯟꯕꯥ
অচুন	ꯑꯆꯨꯟ
অচুবা	ꯑꯆꯨꯕꯥ
অচুম	ꯑꯆꯨꯝ
অচুম্বগী	ꯑꯆꯨꯝꯕꯒꯤ
অচুম্বগীদমক	ꯑꯆꯨꯝꯕꯒꯤꯗꯃꯛ
অচুম্বনা	ꯑꯆꯨꯝꯕꯅꯥ
অচুম্বনি	ꯑꯆꯨꯝꯕꯅꯤ
অচুম্ববু	ꯑꯆꯨꯝꯕꯕꯨ
অচুম্বরনে	ꯑꯆꯨꯝꯕꯔꯅꯦ
অচুম্বা	ꯑꯆꯨꯝꯕꯥ
অচূম্বা	ꯑꯆꯨꯝꯕꯥ
অচেৎপ	ꯑꯆꯦꯠꯄ
অচেৎপা	ꯑꯆꯦꯠꯄꯥ
অচোন	ꯑꯆꯣꯟ
অচোনি	ꯑꯆꯣꯅꯤ
অচোন্	ꯑꯆꯣꯟ
অচোন্বা	ꯑꯆꯣꯟꯕꯥ
অচোমনা	ꯑꯆꯣꯝꯅꯥ
অচৌ	ꯑꯆꯧ
অচৌগী	ꯑꯆꯧꯒꯤ
অচৌবগী	ꯑꯆꯧꯕꯒꯤ
অচৌবদা	ꯑꯆꯧꯕꯗꯥ
অচৌবদু	ꯑꯆꯧꯕꯗꯨ
অচৌবদুনা	ꯑꯆꯧꯕꯗꯨꯅꯥ
অচৌবনা	ꯑꯆꯧꯕꯅꯥ
অচৌবশিংগী	ꯑꯆꯧꯕꯁꯤꯡꯒꯤ
অচৌবসিনা	ꯑꯆꯧꯕꯁꯤꯅꯥ
অচৌবসু	ꯑꯆꯧꯕꯁꯨ
অচৌবা	ꯑꯆꯧꯕꯥ
অচ্চা	ꯑꯆꯆꯥ
অচ্যারিয়া	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥ
অচ্যারিয়ানা	ꯑꯆ꯭ꯌꯥꯔꯤꯌꯥꯅꯥ
অচৎ	ꯑꯆꯠ
অজ	ꯑꯖ
অজন্তা	ꯑꯖꯟꯇꯥ
অজমর	ꯑꯖꯃꯔ
অজমল	ꯑꯖꯃꯜ
অজমলনচিংবনা	ꯑꯖꯃꯜꯅꯆꯤꯡꯕꯅꯥ
অজমির	ꯑꯖꯃꯤꯔ
অজরবৈজানগী	ꯑꯖꯔꯕꯩꯖꯥꯟꯒꯤ
অজহর	ꯑꯖꯍꯔ
অজাং	ꯑꯖꯥꯡ
অজাতি	ꯑꯖꯥꯇꯤ
অজাদ	ꯑꯖꯥꯗ
অজাদকী	ꯑꯖꯥꯗꯀꯤ
অজাদনসু	ꯑꯖꯥꯗꯅꯁꯨ
অজাদনা	ꯑꯖꯥꯗꯅꯥ
অজাদি	ꯑꯖꯥꯗꯤ
অজাদিকা	ꯑꯖꯥꯗꯤꯀꯥ
অজাদিকি	ꯑꯖꯥꯗꯤꯀꯤ
অজাদিগা	ꯑꯖꯥꯗꯤꯒꯥ
অজাম	ꯑꯖꯥꯝ
অজাহিন্দ	ꯑꯖꯥꯍꯤꯟ꯭ꯗ
অজিউরম	ꯑꯖꯤꯎꯔꯝ
অজিজুল	ꯑꯖꯤꯖꯨꯜ
অজিট	ꯑꯖꯤꯠ
অজিত	ꯑꯖꯤꯠ
অজিনক্যা	ꯑꯖꯤꯟꯀ꯭ꯌꯥ
অজিৎ	ꯑꯖꯤꯠ
অজুরাম	ꯑꯖꯨꯔꯥꯝ
অজোয়	ꯑꯖꯣꯢ
অজয়	ꯑꯖꯌ
অঞ্জাম	ꯑꯟꯖꯥꯝ
অঞ্জুমাননা	ꯑꯟꯖꯨꯃꯥꯟꯅꯥ
অটল	ꯑꯇꯜ
অটশুম	ꯑꯠꯁꯨꯝ
অটশুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটশুমনা	ꯑꯠꯁꯨꯝꯅꯥ
অটসুম	ꯑꯠꯁꯨꯝ
অটসুমগী	ꯑꯠꯁꯨꯝꯒꯤ
অটুল	ꯑꯇꯨꯜ
অতত্পা	ꯑꯇꯠꯄꯥ
অতপ্পা	ꯑꯇꯞꯄꯥ
অতম্ননা	ꯑꯇꯝꯅꯅꯥ
অতল	ꯑꯇꯜ
অতা	ꯑꯇꯥ
অতাংবা	ꯑꯇꯥꯡꯕꯥ
অতাওবনচীংবা	ꯑꯇꯥꯎꯕꯟꯆꯤꯡꯕꯥ
অতাঙবা	ꯑꯇꯥꯡꯕꯥ
অতানা	ꯑꯇꯥꯅꯥ
অতানু	ꯑꯇꯥꯅꯨ
অতাবা	ꯑꯇꯥꯕꯥ
অতাশিং	ꯑꯇꯥꯁꯤꯡ
অতাশিংগী	ꯑꯇꯥꯁꯤꯡꯒꯤ
অতাশিংদগী	ꯑꯇꯥꯁꯤꯡꯗꯒꯤ
অতি	ꯑꯇꯤ
অতিথি	ꯑꯇꯤꯊꯤ
অতিয়া	ꯑꯇꯤꯌꯥ
অতিয়াগী	ꯑꯇꯤꯌꯥꯒꯤ
অতিয়াদা	ꯑꯇꯤꯌꯥꯗꯥ
অতুম্বা	ꯑꯇꯨꯝꯕꯥ
অতুল	ꯑꯇꯨꯜ
অতে	ꯑꯇꯦ
অতেক	ꯑꯇꯦꯛ
অতেক্পকা	ꯑꯇꯦꯛꯄꯀꯥ
অতেক্পা	ꯑꯇꯦꯛꯄꯥ
অতেনবা	ꯑꯇꯦꯟꯕꯥ
অতেলি	ꯑꯇꯦꯂꯤ
অতেলিদগী	ꯑꯇꯦꯂꯤꯗꯒꯤ
অতৈ	ꯑꯇꯩ
অতৈগা	ꯑꯇꯩꯒꯥ
অতৈগী	ꯑꯇꯩꯒꯤ
অতৈগুম	ꯑꯇꯩꯒꯨꯝ
অতৈদগী	ꯑꯇꯩꯗꯒꯤ
অতৈদসু	ꯑꯇꯩꯗꯁꯨ
অতৈদা	ꯑꯇꯩꯗꯥ
অতৈদি	ꯑꯇꯩꯗꯤ
অতৈনা	ꯑꯇꯩꯅꯥ
অতোই	ꯑꯇꯣꯢ
অতোন্বগী	ꯑꯇꯣꯟꯕꯒꯤ
অতোন্বদুনা	ꯑꯇꯣꯟꯕꯗꯨꯅꯥ
অতোন্বনা	ꯑꯇꯣꯟꯕꯅꯥ
অতোন্বনি	ꯑꯇꯣꯟꯕꯅꯤ
অতোন্ববুনা	ꯑꯇꯣꯟꯕꯕꯨꯅꯥ
অতোন্বা	ꯑꯇꯣꯟꯕꯥ
অতোন্বী	ꯑꯇꯣꯟꯕꯤ
অতোন্বীনা	ꯑꯇꯣꯟꯕꯤꯅꯥ
অতোপ	ꯑꯇꯣꯄ
অতোপশিং	ꯑꯇꯣꯄꯁꯤꯡ
অতোপা	ꯑꯇꯣꯄꯥ
অতোপ্	ꯑꯇꯣꯞ
অতোপ্পগী	ꯑꯇꯣꯞꯄꯒꯤ
অতোপ্পগীসু	ꯑꯇꯣꯞꯄꯒꯤꯁꯨ
অতোপ্পদা	ꯑꯇꯣꯞꯄꯗꯥ
অতোপ্পশিংদগী	ꯑꯇꯣꯞꯄꯁꯤꯡꯗꯒꯤ
অতোপ্পশিংদা	ꯑꯇꯣꯞꯄꯁꯤꯡꯗꯥ
অতোপ্পশিংবু	ꯑꯇꯣꯞꯄꯁꯤꯡꯕꯨ
অতোপ্পা	ꯑꯇꯣꯞꯄꯥ
অতোম্বদুদি	ꯑꯇꯣꯝꯕꯗꯨꯗꯤ
অতোম্বনা	ꯑꯇꯣꯝꯕꯅꯥ
অতোম্বা	ꯑꯇꯣꯝꯕꯥ
অতোম্বিনি	ꯑꯇꯣꯝꯕꯤꯅꯤ
অতোম্বী	ꯑꯇꯣꯝꯕꯤ
অতোম্বীগী	ꯑꯇꯣꯝꯕꯤꯒꯤ
অতোম্বীদা	ꯑꯇꯣꯝꯕꯤꯗꯥ
অতোম্বীদুদা	ꯑꯇꯣꯝꯕꯤꯗꯨꯗꯥ
অতোম্বীনা	ꯑꯇꯣꯝꯕꯤꯅꯥ
অতোম্বীবু	ꯑꯇꯣꯝꯕꯤꯕꯨ
অতোম্বীসিবু	ꯑꯇꯣꯝꯕꯤꯁꯤꯕꯨ
অতোলদা	ꯑꯇꯣꯜꯗꯥ
অতোয়	ꯑꯇꯣꯢ
অতৌখোংদা	ꯑꯇꯧꯈꯣꯡꯗꯥ
অতৌবা	ꯑꯇꯧꯕꯥ
অত্ন	ꯑꯠꯅ
অত্ম	ꯑꯠꯃ
অত্মনিভর	ꯑꯠꯃꯅꯤꯚꯔ
অত্মনিরভর	ꯑꯠꯃꯅꯤꯔꯚꯔ
অত্মা	ꯑꯠꯃꯥ
অত্মাঘাৎ	ꯑꯠꯃꯥꯘꯥꯠ
অত্মানা	ꯑꯠꯃꯥꯅꯥ
অত্মানি	ꯑꯠꯃꯥꯅꯤ
অত্মানিভর	ꯑꯠꯃꯥꯅꯤꯚꯔ
অত্মানিরভর	ꯑꯠꯃꯥꯅꯤꯔꯚꯔ
অত্মানিরভরতা	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥ
অত্মানিরভরতাগী	ꯑꯠꯃꯥꯅꯤꯔꯚꯔꯇꯥꯒꯤ
অত্মানিরভার	ꯑꯠꯃꯥꯅꯤꯔꯚꯥꯔ
অতৎ	ꯑꯇꯠ
অথংবা	ꯑꯊꯪꯕꯥ
অথক	ꯑꯊꯛ
অথকশিং	ꯑꯊꯛꯁꯤꯡ
অথক্লা	ꯑꯊꯛꯂꯥ
অথন্বা	ꯑꯊꯟꯕꯥ
অথাপ্পা	ꯑꯊꯥꯞꯄꯥ
অথাবা	ꯑꯊꯥꯕꯥ
অথিংবদি	ꯑꯊꯤꯡꯕꯗꯤ
অথিংবশিং	ꯑꯊꯤꯡꯕꯁꯤꯡ
অথিংবসি	ꯑꯊꯤꯡꯕꯁꯤ
অথিংবসু	ꯑꯊꯤꯡꯕꯁꯨ
অথিংবা	ꯑꯊꯤꯡꯕꯥ
অথু	ꯑꯊꯨ
অথুপ	ꯑꯊꯨꯞ
অথুব	ꯑꯊꯨꯕ
অথুবদ	ꯑꯊꯨꯕꯗ
অথুবদা	ꯑꯊꯨꯕꯗꯥ
অথুবা	ꯑꯊꯨꯕꯥ
অথুম	ꯑꯊꯨꯝ
অথুম্	ꯑꯊꯨꯝ
অথুম্নগা	ꯑꯊꯨꯝꯅꯒꯥ
অথুৱন	ꯑꯊꯨꯋꯟ
অথুৱান	ꯑꯊꯨꯋꯥꯟ
অথুৱালে	ꯑꯊꯨꯋꯥꯂꯦ
অথূপ্পা	ꯑꯊꯨꯞꯄꯥ
অথেংনবদা	ꯑꯊꯦꯡꯅꯕꯗꯥ
অথেংবদা	ꯑꯊꯦꯡꯕꯗꯥ
